제목,내용,평점,좋아요 수
사랑의 추억,사랑은 추억할수록 외롭다,3.5,3
졸업,일레인은 버스 탄 선택을 후회하지 않았기를 바란다,4.5,5
늑대들,늑대를 잡으려다 자신마저 늑대가 돼버렸다,4.0,3
함정,폭탄 테러범의 빌드업에 놀아난 제프 그래도 멋있다,4.0,3
유 턴,이런 망할놈의 애리조나,3.5,2
증오,증오심과 권총만으로 해결될 수 없다,3.5,3
퍼블릭 에너미 넘버 원 2,자크메린 과연 지옥에 가서도 탈옥했을까?,3.0,4
퍼블릭 에너미 넘버원,희대의 마초남 수컷 그리고 날것 그 자체 자크로 빙의한 뱅갈,3.5,4
이센셜 킬링,한 인간의 생존기라기 보다는 한 인간의 연쇄살인이라 하는것이 맞을 듯,3.0,3
셰인,진짜 서부 영화,4.5,4
추억,사랑은 변해도 사람은 변하지 않는다,3.5,3
해저 2만리,"SF소설의 원조 1954년 당시 놀라운 과학적 상상력 선사
인간의 탐험정신과 잔인한 본성 사이에 고뇌하는 니모선장",4.0,3
패튼 대전차 군단,축구로 하자면 헤어드라이기 맨유전설 퍼거슨경..평범해서는 아무일도 할 수 없다..일하는 사람이 욕을 먹게 되어 있다,4.0,2
리오에서 온 사나이,"""아그네스 내가 구해줄께"" 대단한 남자친구를 두었군..",4.0,2
낡은 권총,낡은 총으로 복수는 했으나 그리움을 해결할 수 없었다,3.5,2
가스등,심리학 용어로 남게된 Gaslighting Ripley 증후군,4.0,3
심판,"""저는 우리의 가슴 속에 정의가 있다고 믿습니다"" 배심원 제도의 명과 암",4.0,4
녹스 고스 어웨이,마이클 키튼 세월이 흐를수록 더 멋있어진다 알파치노가 나올줄이야,3.5,3
히트맨,"""이제야 퍼즐이 착착들어 맞는구만"" ㅋ",2.5,3
네고시에이터,사무엘잭슨과 케빈스페이시  누가누가 더 잘하나 베틀,4.0,3
데드 걸,살아 숨쉬어도 산게 아닌 다섯 여성들의 죽음같은 삶,4.0,2
자동차 대소동,낯설움도 이해와 공감이면 친구가 된다,3.0,2
블루 루인,복수하기가 이렇게 힘든줄 알았다면 차라리 용서하고 끝낼 것을..,4.0,2
