제목,내용,평점,좋아요 수
메모리,예상치 못한 자리에서 의도치 않게 닿았던 손으로부터 전해오는 절실한 온기.,3.5,100
애니멀 킹덤,이젠 너무 익숙해진 은유보다는 시적인 묘사들이 더 마음에 남는다.,3.0,102
검은 수녀들,이 장르에서 구마 의식이 뻔하고 맥없다면.,2.0,306
노스페라투,영화의 신전에 엎드려 불어넣은 호러의 한기.,3.5,185
리얼 페인,그 여행을 함께 한 듯한 경험 끝에 잊은 줄 알았던 시절의 비애가 쏟아져 들어왔다.,3.5,170
은빛살구,밖에선 들여다보이지 않는 관계의 지긋지긋한 사슬.,3.0,79
쇼잉 업,예술은 섬광 같은 마법이 아니라 그 모든 부대끼는 일상의 깃털 같아서.,3.5,191
페라리,뜨거운 엔진과 차가운 심장이 지옥에서 보낸 한 철.,3.0,121
부모 바보,당겨보면 제대로 작동하지 않는 시스템의 성긴 틈 사이로 보이는 것들.,3.0,81
총을 든 스님,총이 등장했던 수많은 뻔한 영화들을 묻어버린 듯한 언덕에서 피어오르는 미소.,3.5,117
시빌 워: 분열의 시대,‘찍다’와 ‘쏘다’가 모두 영어로 ‘shoot’이라는 사실이 떠오르는 격렬한 딜레마.,3.0,254
모든 것은 아르망에서 시작되었다,예민한 현실 포착과 분방한 초현실 실험이 서로에게서 미끄러진다.,2.5,80
하얼빈,격정으로 웅변하지 않고 옷깃을 여민 채 쉰 목소리로 굳게 다짐한다.,3.0,272
"알레고리, 잇츠 낫 미",이미지의 그림자와 해일 앞에서 명상하고 고백하며 다짐하는 목소리.,4.0,131
힘을 낼 시간,"치렀던 잔치는 느닷없고 짧은데, 견뎌야 할 후일담은 언제나 시시하고 길다.",3.0,123
파라다이스 이즈 버닝,"어찌할 것인가, 이 위태로운 새싹들을 이 차가운 바람을.",3.0,81
서브스턴스,넘치는 에너지와 선명한 주제의식으로 막 나가는 영화를 볼 때의 후련함과 서늘함.,3.5,784
언니 유정,"혼돈 속에서 버겁게 살아간다는 것은, 누군가의 언니가 된다는 것은.",3.0,81
리바이벌 69’,모든 게 이상했지만 그 어떤 것도 가능했던 날의 열기.,3.0,70
아들들,그 모든 간절한 행동도 결국 뒤틀려버리는 마음의 지옥.,3.0,67
소방관,숭고한 직업의식을 기리는 진부한 돌림노래.,2.0,210
1승,선수들이 제 몫을 해내도 앙상한 전략으로 고전하는 경기처럼.,2.5,93
아침바다 갈매기는,모든 진실에는 소금기가 배어 있다.,3.5,107
위키드,장르와 매체에 맞게 제대로 판을 벌인다.,3.5,463
히든페이스,야단스러운 이야기의 요란한 재미.,3.0,201
미망,티베트어로 ‘인간’이 ‘걷는 존재’를 뜻한다는 사실을 거듭 떠올렸다.,3.0,156
한 채,닻을 향한 고투가 시리도록.,3.0,89
글래디에이터 Ⅱ,능숙하게 보여줄 것은 있었으나 딱히 할 말은 없었던 속편.,2.5,244
연소일기,눈물의 계곡으로 향하는 훤한 아스팔트 길.,2.5,110
클로즈 유어 아이즈,아직도 영화의 기적을 믿는 자들에게 보내는 가장 아름다운 인사.,5.0,454
아노라,"불안한 웃음과 절박한 고함에서 참을 수 없는 눈물까지, 뼛속 깊이 아린 그 모든 아노라.",4.5,403
마리우폴에서의 20일,"포격당하는 건물 지하에 놓인 듯한 현장감, 무고한 희생 앞에서 물러서지 않는 기자정신의 감동.",4.0,142
아메바 소녀들과 학교괴담: 개교기념일,일단 귀엽다는 생각이 들기 시작하면 그때부터는.,3.0,163
롱레그스,음산한 기운이 축축한 안개처럼 목덜미를.,3.0,106
하와이 연가,긴 여운을 남기는 음악에 실린 파란만장한 세월들.,2.5,75
룸 넥스트 도어,"욕조의 따스한 물처럼 적셔오는 평화, 설혹 종말이 눈앞에 다가온다고 해도.",4.0,274
더 킬러스,헤밍웨이와 호퍼와 심은경을 모티브 삼은 자유로운 놀이터 혹은 초심의 수련장.,3.5,127
공작새,내다보이는 궤적에서 벗어나지 않더라도 온 몸으로 신명나게.,3.0,90
어프렌티스,논쟁적 소재에 대한 과감하고도 쉬운 접근.,3.0,102
오후 네시,공들여 쌓은 탑이 무너질 때.,2.5,78
폭설,덧칠한 감정의 응어리들이 덕지덕지.,1.5,91
보통의 가족,도덕의 수렁에서 자맥질하는 위선과 기만의 강렬한 복화술.,3.5,272
레드 룸스,독창적인 시점쇼트들로 예리하게 포착한 이상심리의 변이.,4.0,177
너의 색,어우러진 색과 음이 그저 파릇파릇.,2.5,100
조커: 폴리 아 되,망상과 광기를 공유하거나 단절해가며 전편과 내내 밀고 당기듯 치열하게 추는 2인무.,4.0,787
해야 할 일,노동현장의 부조리가 어떤 과정과 딜레마 속에서 형성되는지 명확히 보여준다.,3.0,117
룩백,컷이 바뀔 때마다 사무치기도 하고 어찌할 수 없기도 한 세월이 툭툭툭 넘어간다.,4.0,602
새벽의 모든,"어둠을 노래하라, 그 모든 온기로.",3.5,199
수유천,"거슬러 올라가면 아무 것도 없어요, 그저 천천히 나풀거리는 낙엽 뿐.",3.5,163
사랑의 탐구,모든 장면에 힘을 잔뜩 주면 어떤 장면에도 힘이 실리지 않는다.,2.5,109
장손,이전 것들은 산 너머로 흩어졌으되 새로운 것들은 아직 눈을 뜨지 못하는 겨울의 끝자락에서.,3.5,309
베테랑2,당혹스런 오프닝과 엔딩을 위한 엔딩 그리고 그 사이의 종종 갸웃거려지는 장면들.,2.0,1009
딸에 대하여,함께 살아간다는 것의 의미에 대해 온유하고도 선명하게.,3.0,144
비틀쥬스 비틀쥬스,"초심과 세월, 취향과 향수 사이에서 모두가 다시 애써 흥겨워지고 싶다.",3.0,203
죽고 싶지만 사랑은 하고 싶어,디디면 가라앉을 듯 가녀린 생의 한가운데서 마음의 문을 열면.,3.0,104
그 여름날의 거짓말,그 거짓말들이 그 여름날들을 관통했어야 했을 텐데.,2.0,80
카인즈 오브 카인드니스,부조리가 스멀스멀 살갗 위를 기어다니는 블랙코미디로는 요르고스 란티모스가 단연.,4.0,175
프로이트의 라스트 세션,흥미로운 논전이 경직된 틀에 갇혔다.,2.5,78
한국이 싫어서,그 척력으로 가닿은 곳에서 흐릿하게.,2.5,140
에이리언: 로물루스,야심찬 도약 대신 성실한 행진을 택한 속편이 거둔 낙승.,3.5,573
트위스터스,장점조차도 평범하다.,2.5,233
러브 달바,다루기 어려운 소재의 중심에서 섬세하고도 단호하게.,3.5,102
희생,타르코프스키가 되돌려 멈춰선 자리에 돋아난 가능성의 무성한 잎들.,5.0,300
리볼버,받아야 할 돈이 범죄영화의 클리셰나 맥거핀이 아니라 가장 중요한 약속인 이야기를 대하는 신선함.,3.0,247
이오 카피타노,그 여정의 쓰라림과 간절함이 고스란히.,3.0,101
더 원더스,"빈 하늘을 떠돌다 꿀 한 모금 겨우 머금고 돌아오던, 그 많은 벌들은 다 어디로 갔을까.",4.0,164
파일럿,호흡 짧은 드라마에 산발적인 개그다발.,2.5,278
