,Probability,Predictions,Ground Truths
0,0.61553067,1,0.0
1,0.15379645,0,0.0
2,0.012743874,0,0.0
3,0.57974714,1,0.0
4,0.82811534,1,1.0
5,0.61356884,1,1.0
6,0.6281016,1,1.0
7,0.009703399,0,0.0
8,0.5653235,1,1.0
9,0.06373656,0,0.0
10,0.58846396,1,1.0
11,0.49008566,0,0.0
12,0.6353619,1,1.0
13,0.88542205,1,1.0
14,0.53665936,1,0.0
15,0.8080722,1,1.0
16,0.005465328,0,0.0
17,5.856439e-05,0,0.0
18,0.82977,1,1.0
19,0.61638427,1,0.0
20,0.59572023,1,1.0
21,0.5818089,1,1.0
22,0.53590256,1,0.0
23,0.98490494,1,1.0
24,0.37896785,0,1.0
25,0.5626448,1,1.0
26,0.77051926,1,0.0
27,0.32677644,0,1.0
28,0.5708365,1,0.0
29,0.5022828,1,0.0
30,0.44198987,0,0.0
31,0.550338,1,1.0
32,0.5484735,1,1.0
33,0.1984445,0,1.0
34,0.27764988,0,1.0
35,0.007087198,0,0.0
36,0.5634632,1,0.0
37,0.008884487,0,0.0
38,0.006850808,0,0.0
39,0.071581006,0,0.0
40,0.9223707,1,1.0
41,0.5145932,1,0.0
42,0.509546,1,1.0
43,0.5407045,1,0.0
44,0.8348239,1,1.0
45,0.61826277,1,1.0
46,4.853857e-06,0,0.0
47,0.542411,1,0.0
48,0.6711393,1,1.0
49,0.48290887,0,1.0
50,0.86788154,1,0.0
51,0.63618153,1,1.0
52,0.058980945,0,0.0
53,0.5716737,1,0.0
54,0.61882156,1,1.0
55,0.58170885,1,1.0
56,0.62402034,1,0.0
57,0.98620206,1,1.0
58,0.7971575,1,1.0
59,7.7466866e-05,0,0.0
60,0.033865042,0,0.0
61,0.58213687,1,1.0
62,0.83013946,1,1.0
63,0.599948,1,0.0
64,0.565168,1,0.0
65,0.93042094,1,1.0
66,0.9781285,1,1.0
67,0.9755221,1,0.0
68,0.5040187,1,0.0
69,5.7851184e-06,0,0.0
70,0.99176735,1,1.0
71,0.78944665,1,1.0
72,0.0067493194,0,0.0
73,0.5681763,1,1.0
74,0.5502952,1,1.0
75,0.008025911,0,0.0
76,0.5650324,1,0.0
77,2.1043013e-05,0,0.0
78,0.53524303,1,0.0
79,0.5022594,1,1.0
80,0.545074,1,1.0
81,0.82115626,1,0.0
82,0.14714544,0,0.0
83,0.8073217,1,1.0
84,0.86028665,1,1.0
85,0.0064434367,0,0.0
86,0.5529671,1,1.0
87,0.6183253,1,1.0
88,0.63365597,1,1.0
